prefLabel;technicalName;description;partOfGroup;conceptsFromScheme;freeConcepts;referencePeriodStart;referencePeriodEnd;dataset.referencePeriodStart;dataset.referencePeriodEnd;valueDomainType;quantity.prefLabel;quantity.id;unit.prefLabel;unit.id;unit.symbol;valueRangeMin;valueRangeMax;codeList.prefLabel;codeList.id;codeList.description;codeList.owner;codeList.referenceId;codeList.codeListType;codeList.codeItems;missingValues;defaultMissingValue;qualityStatement;source.dataset.prefLabel;source.dataset.id;source.description;dataType;dataFormat;unitType.prefLabel;unitType.id;unitType.description;dataset.unitType.prefLabel;dataset.unitType.id;dataset.unitType.description;study.unitType.prefLabel;study.unitType.id;study.unitType.description;instanceQuestions;id;dataset.prefLabel;dataset.id;study.prefLabel;study.referencePeriodStart;study.referencePeriodEnd;published;lastModifiedDate;variable.prefLabel;variable.id;variable.description;ownerOrganizationIdAsString
Käynnin vastaanottaja;VASTOTT;Tieto siitä, onko käynnin vastaanottaja lääkäri vai muu terveydenhuollon ammattihenkilö. Käynnin vastaanottaja on lääkäri tai muu terveydenhuollon ammattihenkilö, joka tutkii ja/tai hoitaa potilasta käynnin aikana sekä tekee merkinnät potilasasiakirjoihin. Ilmoitetaan vain avohoitokäyntien tiedoissa.;Palveluntuottaja;"terveydenhuoltohenkilöstö;Hoitotyö;terveydenhuolto";;2011-01-01;;1994-01-01;;enumerated;;;;;;;;Hilmo - Käynnin vastaanottaja;3b9fef52-ae0d-41db-87f1-617f27ac68ee;Luokituksella Hilmo - Käynnin vastaanottaja kuvataan terveydenhuollon hoitoilmoituksissa, onko käynnin vastaanottaja lääkäri vai muu terveydenhuollon ammattihenkilö.;Terveyden ja hyvinvoinnin laitos ;1.2.246.537.6.229;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;04b21122-a156-45be-9ec6-d29bd474da7c;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Käynnin kävijäryhmä;KAVIJARY;Käyntiin osallistuvien asiakkaiden/potilaiden ja ammattilaisten määrä.;Asiakas/potilas;"terveydenhuoltohenkilöstö;terveydenhuolto";;2011-01-01;;1994-01-01;;enumerated;;;;;;;;Hilmo - Kävijäryhmä;2ffccb8e-2727-4a72-96c7-61150a77de53;Hilmo - Kävijäryhmä -luokitusta käytetään Avohoidon tilastointiin, jossa voidaan tarkastella palvelutapahtumien lukumääriä erilaisten palvelutilanteiden mukaan;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.232;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;35f6bddd-9077-479b-8b70-05c2bcf5afdb;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Käynnin toteuttajan ammatti;AMMATTITK;Käynnin toteuttajan ammatti;Palveluntuottaja;"terveydenhuoltohenkilöstö;terveydenhuolto";;2019-01-01;;1994-01-01;;enumerated;;;;;;;;Tilastokeskus - Ammattiluokitus;bbc82628-a01c-481f-8a00-8131fa20f018;Ammattiluokitus on ydintieto. Potilaan / Asiakkaan ammatin sekä potilaskertomusmerkintöjen tekijan ammatin kuvaaminen. Ammattiluokituksen avulla laaditaan tilastoja väestön ammattirakenteesta ja palkoista. Saman ammattiluokituksen käyttö eri tilastoissa, tutkimuksissa ja rekistereissä mahdollistaa vertailukelpoisten tilastojen tuottamisen ammattirakenteesta eri aikoina ja eri alueilla.;Tilastokeskus;1.2.246.537.6.74;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;f19343d6-c8a4-4c2e-8969-a6b65ee2dd0c;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Käynnin toteuttaja;REKNUMERO;Käynnin toteuttajan rekisteröintinumero;Palveluntuottaja;"terveydenhuoltohenkilöstö;terveydenhuolto";;2019-01-01;;1994-01-01;;described;;;;;;;;;;;;;;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;5c1e412d-bfca-43bb-b278-49f510bf750f;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Asiakkaan henkilötunnus;KRYPHT;Sosiaali- ja terveydenhuollon palvelujen käyttäjä tai muutoin niiden kohteena oleva henkilö.;Asiakas/potilas;"terveydenhuolto;asiakkaat";;1994-01-01;;1994-01-01;;described;;;;;;;;;;;;;;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;077ab207-3d73-4317-be0f-ddba180ceb38;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Asiakkaan sukupuoli;SUKUP;Asiakkaan/potilaan sukupuoli;Asiakas/potilas;"terveydenhuolto;asiakkaat";;1994-01-01;;1994-01-01;;enumerated;;;;;;;;AR/YDIN - Sukupuoli ;95ec8949-f0d4-48d2-8f10-7aa0554cafd0;Sukupuoli ilmaistaan AR/YDIN Sukupuoli -luokituksella terveyden- ja sosiaalihuollon tietojärjestelmissä. Määritys noudattaa ISO standardia. Luokitus eroaa VRK:n luokituksesta, mutta luokitusten vastaavuus on määritelty.;Avoimet rajapinnat työryhmä;1.2.246.537.5.1;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;408abccd-a192-4332-b36b-d805cfddde31;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Asiakkaan ikä;IKA;Asiakkaan/potilaan ikä hoitojakson päättyessä tai laskentahetkellä;Asiakas/potilas;"terveydenhuolto;asiakkaat";;1994-01-01;;1994-01-01;;described;;;;;;;;;;;;;;;;(null);;;;;Number;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;5b2b57b5-8bf5-4b0c-be36-26e20ab4d21c;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Asiakkaan kotikunta;KOKU;Kunta, jossa henkilö asuu tai johon hänellä on muutoin kiinteä yhteys asumisensa, perhesuhteidensa, toimeentulonsa ja muiden vastaavien seikkojen vuoksi.;Asiakas/potilas;"terveydenhuolto;asiakkaat;asuminen";;1994-01-01;;1994-01-01;;enumerated;;;;;;;;VRK/THL - Kuntakoodit;059df12c-7756-470a-a745-f131d8825814;VRK/THL - Kuntakoodit -luokitusta käytetään terveydenhuollon potilastietojärjestelmissä ja sosiaalihuollon asiakastietojärjestelmissä esimerkiksi yksilöimään potilaan tai asiakkaan kotikunta. Kuntakoodeja käytetään myös valtakunnallisessa tilastoinnissa. Kuntakoodisto on JHS110-suosituksen mukainen koodisto, joka sisältää tiedot kuntien suomen- ja ruotsinkielisistä nimistä ja kuntakoodeista. Kuntakoodi on Väestörekisterikeskuksen antama kolmemerkkinen koodi. Kolminumeroisen esitysmuodon vuoksi koodit 001-099 ilmoitetaan etunollineen.;VRK ja THL;1.2.246.537.6.21;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;e3cb91ac-d1ab-4de8-b997-e1930990862a;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Asiakkaan asuinpaikan postinumero;ASUINPAIKAN_POSTINUMERO;Osoitteen osa, joka on postinjakelua postitoimipaikan sisällä ohjaava koodi.;Asiakas/potilas;"terveydenhuolto;asiakkaat;asuminen";;2011-01-01;;1994-01-01;;enumerated;;;;;;;;;;;;;;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;6242e885-d385-4e9f-adbc-e6937245226f;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Väestövastuualue;VVAL;Väestövastuualue;Asiakas/potilas;"terveydenhuolto;asiakkaat;asuminen";;1994-01-01;2010-12-31;1994-01-01;;enumerated;;;;;;;;;;;;;;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;e75005f4-421b-4bcc-9fc2-8b01da244c57;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Ulkomailla asuvan kotimaan koodi;ULASU;Henkilö, jolla ei ole kotikuntaa Suomessa. Ulkomailla asuvaksi määritellään myös Suomen kansalainen, jonka vakituinen asuinpaikka on ulkomailla.;Asiakas/potilas;"terveydenhuolto;asiakkaat;asuminen";;1995-01-01;;1994-01-01;;enumerated;;;;;;;;SFS - Maakoodisto;372c1d2a-4793-4b0d-aeaa-af629397253a;SFS – Maakoodisto on suomennos kansainvälisestä standardista ISO 3166, joka sisältää maailmanlaajuiseen käyttöön soveltuvat  valtioiden ja niihin verrattavien alueiden nimien tunnukset. Koodistoa käytetään terveydenhuollon potilasasiakirjoissa ilmaisemaan esim. potilaan kotimaa, matkustamisen kohdemaa tai tartuntautilomakkeella tartunnan saantimaa ja sosiaalihuollon asiakasasiakirjoissa ilmaisemaan esim. asumismaa, aiempi asumismaa, osoitteen maa tai maan kansalaisuus. SFS - Maakoodistossa käytetään koodiarvona kaksimerkkistä maakoodia sekä lisätietoina kolmimerkkistä ja numeerista maakoodia.;SFS Suomen Standardoimisliitto;1.2.246.537.6.97;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;ba794dd0-4d15-4d02-a836-f7bd4fcc56ee;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Paino;PAINO;Asiakkaan/potilaan paino, kokonaislukuna grammoina tai kilogrammoina. Muuttuja PAINO_YKSIKKO kertoo mitä mittayksikköä on käytetty.;Asiakas/potilas;"terveydenhuolto;asiakkaat";;2019-01-01;;1994-01-01;;enumerated;;;;;;;;FinLOINC - Fysiologiset mittaukset;174616f7-f6fb-47ec-864c-3566ed1bba61;FinLOINC - Fysiologiset mittaukset -luokitus sisältää potilaan tilaa kuvaavia kliinisiä mittaustuloksia ja löydöksiä.;Terveyden ja hyvinvoinnin laitos ;1.2.246.537.6.96;external;;;(null);;;;;Number;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;33a77d78-1ec5-44fb-aee4-df12244d03ae;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Painoyksikkö;PAINOYKSIKKO;Painon mittauksessa käytetty yksikkö, liittyy PAINO muuttujaan.;Asiakas/potilas;"terveydenhuolto;asiakkaat";;2019-01-01;;1994-01-01;;enumerated;;;;;;;;FinLOINC - Fysiologiset mittaukset;174616f7-f6fb-47ec-864c-3566ed1bba61;FinLOINC - Fysiologiset mittaukset -luokitus sisältää potilaan tilaa kuvaavia kliinisiä mittaustuloksia ja löydöksiä.;Terveyden ja hyvinvoinnin laitos ;1.2.246.537.6.96;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;528ffbd1-e912-4bda-80d2-2340424f0910;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Pituus;PITUUS;Asiakkaan/potilaan pituus senttimetreinä;Asiakas/potilas;"terveydenhuolto;asiakkaat";;2019-01-01;;1994-01-01;;enumerated;;;;;;;;FinLOINC - Fysiologiset mittaukset;174616f7-f6fb-47ec-864c-3566ed1bba61;FinLOINC - Fysiologiset mittaukset -luokitus sisältää potilaan tilaa kuvaavia kliinisiä mittaustuloksia ja löydöksiä.;Terveyden ja hyvinvoinnin laitos ;1.2.246.537.6.96;external;;;(null);;;;;Number;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;a13f9b23-2e69-41b5-a31b-abd1403f3b63;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
