prefLabel;technicalName;description;partOfGroup;conceptsFromScheme;freeConcepts;referencePeriodStart;referencePeriodEnd;dataset.referencePeriodStart;dataset.referencePeriodEnd;valueDomainType;quantity.prefLabel;quantity.id;unit.prefLabel;unit.id;unit.symbol;valueRangeMin;valueRangeMax;codeList.prefLabel;codeList.id;codeList.description;codeList.owner;codeList.referenceId;codeList.codeListType;codeList.codeItems;missingValues;defaultMissingValue;qualityStatement;source.dataset.prefLabel;source.dataset.id;source.description;dataType;dataFormat;unitType.prefLabel;unitType.id;unitType.description;dataset.unitType.prefLabel;dataset.unitType.id;dataset.unitType.description;study.unitType.prefLabel;study.unitType.id;study.unitType.description;instanceQuestions;id;dataset.prefLabel;dataset.id;study.prefLabel;study.referencePeriodStart;study.referencePeriodEnd;published;lastModifiedDate;variable.prefLabel;variable.id;variable.description;ownerOrganizationIdAsString
Organisaation postitoimipaikka;CITY;L‰‰kkeen toimittaneen apteekin postitoimipaikka;Potilas, erikoisala, organisaatio;;;;;2010-05-01;;enumerated;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;960f2545-fd29-431b-8a97-3b4801e11d4d;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Toimitettu m‰‰r‰ lausekkeena;DIS_AMOUNT_CALC_TXT;Apteekin ilmoittama toimitettu m‰‰r‰ lausekkeena. Jotta poimittavaan aineistoon saadaan kattavat tiedot toimitetusta m‰‰r‰st‰, t‰m‰ muuttuja toimitetaan yhdess‰ muiden toimitetun m‰‰r‰n muuttujien (yht 4 kpl) kanssa.;Reseptin tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;9931797e-7d43-42a7-ac6f-c755833a317d;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Toimitettu m‰‰r‰ numeerisena;DIS_AMT_VALUE;Apteekin ilmoittama toimitettu m‰‰r‰ numeerisena.  Jotta poimittavaan aineistoon saadaan kattavat tiedot toimitetusta m‰‰r‰st‰, t‰m‰ muuttuja toimitetaan yhdess‰ muiden toimitetun m‰‰r‰n muuttujien (yht 4 kpl) kanssa.;Reseptin tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;4b687743-a0d3-4bfc-bb09-a76a4ecf81f2;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Toimitettu m‰‰r‰‰ tekstimuotoisena;DIS_AMOUNT_TXT;Apteekin ilmoittama toimitettu m‰‰r‰ tekstimuotoisena.  Jotta poimittavaan aineistoon saadaan kattavat tiedot toimitetusta m‰‰r‰st‰, t‰m‰ muuttuja toimitetaan yhdess‰ muiden toimitetun m‰‰r‰n muuttujien (yht 4 kpl) kanssa.;Reseptin tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;ccdcbeb5-3cc5-4466-8d97-aa8aaf6c38fd;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Toimitettu m‰‰r‰‰ yksikkˆ;DIS_AMT_UNIT;Apteekin ilmoittama toimitettu m‰‰r‰ yksikkˆ.  Jotta poimittavaan aineistoon saadaan kattavat tiedot toimitetusta m‰‰r‰st‰, t‰m‰ muuttuja toimitetaan yhdess‰ muiden toimitetun m‰‰r‰n muuttujien (yht 4 kpl) kanssa.;Reseptin tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;9bccd399-c06f-4bc0-b260-496c5e6f9c3a;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Kustannukset;DELIVERY_FEE;L‰‰kkeen kustannukset, jotka koostuvat l‰‰kepakkausten hinnasta ja apteekin toimitusmaksusta. Kustannuksista ei ole v‰hennetty mahdollista sairausvakuutuskorvauksen osuutta. Saatavilla alkaen vuodesta 2011.;Reseptin tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;cdcea8d8-f4ac-4eda-ac94-733c8553f59b;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
L‰‰ke vaihdettu;MED_EXCHANGED;Apteekissa voidaan merkit‰ l‰‰ke vaihdetuksi miss‰ vain tapauksessa, kun toimitus poikkeaa jollain tavalla alkuper‰isest‰ l‰‰kem‰‰r‰yksest‰. Esimerkiksi VNR-koodi saattaa olla eri mutta toimitetut valmisteet eroavat ainoastaan l‰‰kepakkauksen tyypin suhteen, esim. îl‰pipainopakkausî sijaan on toimitettu îtˆlkkiî. Eli toimitukseen on voitu merkit‰ îL‰‰ke vaihdettuî vaikka l‰‰kett‰ ei ole vaihdettu edullisempaan valmisteeseen. L‰‰ke vaihdettu -merkint‰ saattaa olla myˆs sellaisessa l‰‰ketoimituksessa, johon liittyv‰ss‰ l‰‰kem‰‰r‰yksess‰ ei ole VNR-koodia (ts. l‰‰ke on m‰‰r‰tty esimerkiksi vaikuttavan aineen nimell‰).î†;Reseptin tiedot;;;;;2010-05-01;;enumerated;;;;;;;;L‰‰ke vaihdettu;c4fae8b2-506d-45da-aef3-281ba0048363;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;76241c76-e561-4338-900a-3eee2a37ebd0;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Annosjakelu;DOSE_DISTRIBUTION;Annosjakelu;Reseptin tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Annosjakelu;db23a8a5-90f9-4e3f-a4a0-839eb233850d;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;6b054fea-f273-41ed-a8fe-362af967dfaa;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Osapakkaus;PART_PACKING;Osapakkaus;Reseptin tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Osapakkaus;32a306c4-c062-4fe4-9b26-5ce1dc9a4105;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;45483bcf-c3cb-4f8d-a743-132eae6da079;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
ATC-koodi;ATC_CODE;L‰‰kkeen ATC-koodi. ATC-luokitus on kansainv‰linen WHO:n yll‰pit‰m‰ l‰‰kkeiden luokitus. Suomessa luokitusta yll‰pit‰‰ Fimea. Kun l‰‰keostoja poimitaan tai luokitellaan ATC-koodin perusteella, on huomioitava mahdolliset muutokset ATC-luokituksessa, ks. https://www.whocc.no/atc_ddd_alterations__cumulative/atc_alterations. Poiminnassa on huomioitava myˆs, ett‰ ATC-koodi saattaa olla puuttuvaa tietoa, jos l‰‰kevalmiste ei ole l‰‰ketietokannassa. Esimerkiksi potilaskohtaiset erityislupavalmisteet ja apteekin valmistamat l‰‰kkeet eiv‰t ole l‰‰ketietokannassa.;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Fimea - ATC Luokitus;5e2611c4-a186-42a1-854b-711a478d9d0a;ATC on l‰‰kkeiden anatomis-terapeuttis-kemiallinen (Anatomical Therapeutic Chemical, ATC) luokitusj‰rjestelm‰. L‰‰kkeet on jaettu luokituksessa ryhmiin yht‰‰lt‰ sen mukaan, mihin elimeen tai elinj‰rjestelm‰‰n l‰‰kkeet vaikuttavat, ja toisaalta sen mukaan, mit‰ kemiallisia, farmakologisia ja terapeuttisia ominaisuuksia l‰‰kkeill‰ on.;Fimea;1.2.246.537.6.32;external;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;caa72f52-8847-499b-9a34-6f7883501135;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
ATC nimi;ATC_NAME_FI;ATC-koodin nimi.;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Fimea - ATC Luokitus;5e2611c4-a186-42a1-854b-711a478d9d0a;ATC on l‰‰kkeiden anatomis-terapeuttis-kemiallinen (Anatomical Therapeutic Chemical, ATC) luokitusj‰rjestelm‰. L‰‰kkeet on jaettu luokituksessa ryhmiin yht‰‰lt‰ sen mukaan, mihin elimeen tai elinj‰rjestelm‰‰n l‰‰kkeet vaikuttavat, ja toisaalta sen mukaan, mit‰ kemiallisia, farmakologisia ja terapeuttisia ominaisuuksia l‰‰kkeill‰ on.;Fimea;1.2.246.537.6.32;external;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;a4e6be85-3a97-4e13-b46c-720341b945d1;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
ATC nimi ruotsi;ATC_NAME_SE;ATC-koodin ruotsinkielinen nimi.;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Fimea - ATC Luokitus;5e2611c4-a186-42a1-854b-711a478d9d0a;ATC on l‰‰kkeiden anatomis-terapeuttis-kemiallinen (Anatomical Therapeutic Chemical, ATC) luokitusj‰rjestelm‰. L‰‰kkeet on jaettu luokituksessa ryhmiin yht‰‰lt‰ sen mukaan, mihin elimeen tai elinj‰rjestelm‰‰n l‰‰kkeet vaikuttavat, ja toisaalta sen mukaan, mit‰ kemiallisia, farmakologisia ja terapeuttisia ominaisuuksia l‰‰kkeill‰ on.;Fimea;1.2.246.537.6.32;external;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;f9317273-5152-41d0-8baf-4ba85b100861;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Valmisteen lajin koodi;PREPARATION_TYPE_CODE;"Valmisteen lajin koodi, saatavilla alkaen vuodesta 2015.
1	Myyntiluvallinen l‰‰kevalmiste
2	L‰‰ketietokannassa oleva perusvoide
3	L‰‰ketietokannassa oleva kliininen ravintovalmiste
4	M‰‰r‰aikainen erityislupavalmiste
5	L‰‰ketietokannassa oleva rekisterˆity l‰‰kevalmiste
6	L‰‰ketietokannan ulkopuolinen valmiste
7	Apteekissa valmistettava l‰‰ke
8	Tutkimusl‰‰ke
9	Vaikuttavan aineen nimell‰ m‰‰r‰tty l‰‰ke
10	Hoitotarvike
11	Potilaskohtainen erityislupavalmiste
12	Ulkomailla m‰‰r‰tty valmiste";L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Valmisteen lajin koodi;a602332a-0ece-4ff7-87da-33e23af96567;;;;internal;"Myyntiluvallinen l‰‰kevalmiste:1;L‰‰ketietokannassa oleva perusvoide:2;L‰‰ketietokannassa oleva kliininen ravintovalmiste:3;M‰‰r‰aikainen erityislupavalmiste:4;L‰‰ketietokannassa oleva rekisterˆity l‰‰kevalmiste:5;L‰‰ketietokannan ulkopuolinen valmiste:6;Apteekissa valmistettava l‰‰ke:7;Tutkimusl‰‰ke:8;Vaikuttavan aineen nimell‰ m‰‰r‰tty l‰‰ke:9;Hoitotarvike:10;Potilaskohtainen:11;Ulkomailla m‰‰r‰tty valmiste:12";;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;bcda2b02-d75d-4159-93c1-4bad5b4df447;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
VNR-koodi1;PRODUCT_CODE1;Vnr-numero eli pohjoismainen tuotenumero on myyntiluvallisten l‰‰kkeiden l‰‰kepakkauksen yksilˆiv‰ kuusinumeroinen koodi. Numerointij‰rjestelm‰‰ hallinnoi L‰‰ketietokeskus Oy. L‰‰ketoimituksessa yhdistelm‰pakkauksessa voi olla useampia l‰‰keaineita saman ATC-luokituksen takana, jolloin jokaisella pakkaukseen kuuluvalla l‰‰keaineella on oma VNR-koodinsa. Esimerkiksi helikobakteerin h‰‰t‰miseen tarkoitettu Helipak A-yhdistelm‰pakkaus sis‰lt‰‰ kolme l‰‰keainetta. Useampia VNR-koodeja esiintyy ainoastaan yhdistelm‰pakkausten ollessa kyseess‰. Saatavilla alkaen vuodesta 2011.;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;8a853a44-5860-4609-a596-74e96392c626;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
VNR-koodi2;PRODUCT_CODE2;Vnr-numero eli pohjoismainen tuotenumero on myyntiluvallisten l‰‰kkeiden l‰‰kepakkauksen yksilˆiv‰ kuusinumeroinen koodi. Numerointij‰rjestelm‰‰ hallinnoi L‰‰ketietokeskus Oy. L‰‰ketoimituksessa yhdistelm‰pakkauksessa voi olla useampia l‰‰keaineita saman ATC-luokituksen takana, jolloin jokaisella pakkaukseen kuuluvalla l‰‰keaineella on oma VNR-koodinsa. Esimerkiksi helikobakteerin h‰‰t‰miseen tarkoitettu Helipak A-yhdistelm‰pakkaus sis‰lt‰‰ kolme l‰‰keainetta. Useampia VNR-koodeja esiintyy ainoastaan yhdistelm‰pakkausten ollessa kyseess‰. Saatavilla alkaen vuodesta 2011.;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;a2938513-4c09-40ba-9f9a-8ddf8045bc83;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
VNR-koodi3;PRODUCT_CODE3;Vnr-numero eli pohjoismainen tuotenumero on myyntiluvallisten l‰‰kkeiden l‰‰kepakkauksen yksilˆiv‰ kuusinumeroinen koodi. Numerointij‰rjestelm‰‰ hallinnoi L‰‰ketietokeskus Oy. L‰‰ketoimituksessa yhdistelm‰pakkauksessa voi olla useampia l‰‰keaineita saman ATC-luokituksen takana, jolloin jokaisella pakkaukseen kuuluvalla l‰‰keaineella on oma VNR-koodinsa. Esimerkiksi helikobakteerin h‰‰t‰miseen tarkoitettu Helipak A-yhdistelm‰pakkaus sis‰lt‰‰ kolme l‰‰keainetta. Useampia VNR-koodeja esiintyy ainoastaan yhdistelm‰pakkausten ollessa kyseess‰. Saatavilla alkaen vuodesta 2011.;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;559e1786-afb4-4ad3-aefc-3e2534bfe5f4;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Biologinen l‰‰ke;BIOLOGINENLAAKE_KDI;Onko tuote biologinen l‰‰ke, kyll‰/ei, 1/0;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;Biologinen l‰‰ke;e0412cbf-d664-4ae3-b692-0de4c30a005f;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;7c6e2b88-650f-4b61-80e8-c91baf2f3ee1;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Tiettyyn l‰‰kemuotoon yhdistetty koodi;LAAKEMUOTOKOODI;Tiettyyn l‰‰kemuotoon yhdistetty koodi;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;cb3de0ff-3e0a-45e6-9fb4-46db8176263f;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
L‰‰kemuodon selite suomeksi;LAAKEMUOTO_FI;L‰‰kemuotokoodin selite, eli kertoo millainen l‰‰ke on kyseess‰.;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;669709a5-38e4-4156-ae05-3ca1a7a9a2d4;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
L‰‰kkeen nimi;DRUG_NAME_C;L‰‰kkeen nimi. L‰‰kem‰‰r‰yksess‰ voi olla joko kauppanimi tai vaikuttavan aineen nimi. Tietovarastoon p‰‰tyy nimi seuraavasti: Poimitaan ensimm‰inen tieto, joka lˆytyy seuraavassa j‰rjestyksess‰: kauppanimi_laji1, kauppanimi_laji2, kauppanimi_laji3, kauppanimi_laji4, laaketietokannan_ulkopuolinen, vaikuttava_aine, puuttuu, eli  kauppanimet ovat ensisijaisia, sitten mahdollinen muu nimi ja lopulta vaikuttava-aine.;L‰‰kkeen tiedot;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;7f76a894-fb15-4c2a-a715-f6e2018b7219;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
L‰‰kkeen nimen l‰hde;DRUG_NAME_SOURCE_C;L‰‰kkeen nimen l‰hde;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;L‰‰kkeen nimen l‰hde;198d09bf-138e-4fd9-b364-069d06cf7161;;;;internal;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;39172f57-64e3-4d93-9ca4-00a645d63dfa;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
L‰‰kkeen vahvuus;DOSE_QUANTITY_TEXT;L‰‰kkeen vahvuus;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;L‰‰kkeen vahvuus;e93d117b-5af5-4c42-a2d7-b322d85ef7b3;;Fimea;;internal;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;2e344ff7-b59b-4e5e-85d3-4096bd110984;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
S‰ilytysastia;CONTAINER;S‰ilytysastia: lasipurkki, folionauha, sumutepakkaus, yhdistelm‰pakkaus, pussi, injektiopullo, alumiiniputki, esit‰ytetty kyn‰, kerta-annosruisku, annospussi, ampulli, tˆlkki, lasipullo, kerta, annospakkaus, l‰pipainopakkaus, muovipurkki, tuubi/putkilo, annosrasia, insuliinis‰iliˆ, rep‰isypakkaus, blister, injektiopullo ja esit‰ytetty ruisku, foliokiekko, yhdistelm‰-pakkaus, esit‰ytetty ruisku, tablettipurkki, muovi, kaasupullo, putki, l‰pipaino-pakkaus, muovipullo, kolmikammiopussi, inhalaattori.;L‰‰kkeen tiedot;;;;;2010-05-01;;enumerated;;;;;;;;S‰ilytysastia;6525369b-03c9-48d0-ba98-5282ece34357;;;;internal;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;1644f586-4ec0-4730-a02a-bae4096999d9;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
